    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:03 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:01 [ksoftirqd/0]
     11 ?        I      0:30 [rcu_sched]
     12 ?        S      0:00 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     14 ?        S      0:00 [cpuhp/0]
     15 ?        S      0:00 [cpuhp/1]
     16 ?        S      0:00 [idle_inject/1]
     17 ?        S      0:00 [migration/1]
     18 ?        S      0:04 [ksoftirqd/1]
     20 ?        I<     0:00 [kworker/1:0H-kblockd]
     21 ?        S      0:00 [cpuhp/2]
     22 ?        S      0:00 [idle_inject/2]
     23 ?        S      0:00 [migration/2]
     24 ?        S      0:00 [ksoftirqd/2]
     26 ?        I<     0:00 [kworker/2:0H-kblockd]
     27 ?        S      0:00 [cpuhp/3]
     28 ?        S      0:00 [idle_inject/3]
     29 ?        S      0:00 [migration/3]
     30 ?        S      0:01 [ksoftirqd/3]
     32 ?        I<     0:00 [kworker/3:0H-kblockd]
     33 ?        S      0:00 [kdevtmpfs]
     34 ?        I<     0:00 [netns]
     35 ?        S      0:00 [rcu_tasks_kthre]
     36 ?        S      0:00 [rcu_tasks_rude_]
     37 ?        S      0:00 [rcu_tasks_trace]
     38 ?        S      0:00 [kauditd]
     41 ?        S      0:00 [khungtaskd]
     42 ?        S      0:00 [oom_reaper]
     43 ?        I<     0:00 [writeback]
     44 ?        S      0:00 [kcompactd0]
     45 ?        SN     0:00 [ksmd]
     46 ?        SN     0:00 [khugepaged]
     93 ?        I<     0:00 [kintegrityd]
     94 ?        I<     0:00 [kblockd]
     95 ?        I<     0:00 [blkcg_punt_bio]
     97 ?        I<     0:00 [tpm_dev_wq]
     98 ?        I<     0:00 [ata_sff]
     99 ?        I<     0:00 [md]
    100 ?        I<     0:00 [edac-poller]
    101 ?        I<     0:00 [devfreq_wq]
    102 ?        S      0:00 [watchdogd]
    104 ?        I<     0:00 [pm_wq]
    106 ?        S      0:03 [kswapd0]
    107 ?        S      0:00 [ecryptfs-kthrea]
    109 ?        I<     0:00 [kthrotld]
    110 ?        I<     0:00 [acpi_thermal_pm]
    111 ?        I<     0:00 [vfio-irqfd-clea]
    114 ?        I<     0:00 [ipv6_addrconf]
    124 ?        I<     0:00 [kstrp]
    127 ?        I<     0:00 [zswap-shrink]
    135 ?        I<     0:00 [charger_manager]
    186 ?        I<     0:00 [nvme-wq]
    187 ?        I<     0:00 [nvme-reset-wq]
    188 ?        I<     0:00 [nvme-delete-wq]
    193 ?        S      0:00 [irq/109-ELAN130]
    225 ?        I<     0:04 [kworker/3:1H-events_highpri]
    227 ?        S      0:00 [jbd2/nvme0n1p5-]
    228 ?        I<     0:00 [ext4-rsv-conver]
    261 ?        I<     0:04 [kworker/0:1H-events_highpri]
    268 ?        S<s    0:05 /lib/systemd/systemd-journald
    283 ?        I<     0:04 [kworker/2:1H-events_highpri]
    294 ?        I<     0:04 [kworker/1:1H-events_highpri]
    299 ?        Ss     0:00 /lib/systemd/systemd-udevd
    304 ?        S<     0:00 [loop0]
    316 ?        S<     0:00 [loop1]
    317 ?        S<     0:00 [loop2]
    329 ?        S<     0:00 [loop3]
    337 ?        S<     0:00 [loop4]
    353 ?        S<     0:00 [loop5]
    355 ?        S<     0:00 [loop7]
    356 ?        S<     0:00 [loop8]
    358 ?        S<     0:00 [loop9]
    372 ?        S<     0:00 [loop10]
    373 ?        I<     0:00 [asus_wireless_w]
    378 ?        S<     0:00 [loop11]
    379 ?        S<     0:00 [loop12]
    397 ?        S      0:00 [irq/137-mei_me]
    402 ?        I<     0:00 [cfg80211]
    417 ?        S      0:01 [irq/138-iwlwifi]
    428 ?        I<     0:00 [cryptd]
    429 ?        I<     0:00 [led_workqueue]
    539 ?        S      0:01 [jbd2/nvme0n1p6-]
    542 ?        I<     0:00 [ext4-rsv-conver]
    567 ?        Ss     0:03 /lib/systemd/systemd-resolved
    569 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    665 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    666 ?        Ss     0:01 /usr/sbin/acpid
    670 ?        Ss     0:01 avahi-daemon: running [rmc-zenbook3.local]
    672 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    673 ?        Ss     0:00 /usr/sbin/cron -f
    676 ?        Ss     1:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    678 ?        Ssl    0:15 /usr/sbin/NetworkManager --no-daemon
    687 ?        Ssl    0:02 /usr/sbin/irqbalance --foreground
    691 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    696 ?        Ssl    0:03 /usr/lib/policykit-1/polkitd --no-debug
    705 ?        Ssl    0:01 /usr/sbin/rsyslogd -n -iNONE
    717 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    725 ?        Ss     0:00 /lib/systemd/systemd-logind
    726 ?        Ssl    0:02 /usr/sbin/thermald --no-daemon --dbus-enable
    728 ?        Ssl    1:06 /usr/lib/udisks2/udisksd
    730 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    744 ?        S      0:00 avahi-daemon: chroot helper
    779 ?        Ssl    0:00 /usr/libexec/colord
    785 ?        Ssl    0:00 /usr/sbin/cups-browsed
    788 ?        Ssl    0:00 /usr/sbin/ModemManager --filter-policy=strict
    859 ?        Ss     0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
    891 ?        Ss     0:01 /usr/sbin/apache2 -k start
    892 ?        Ssl    1:05 /usr/sbin/mysqld
    903 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    916 ?        S      0:00 [cec-DP-2]
   1041 ?        S      0:00 /usr/sbin/apache2 -k start
   1042 ?        S      0:00 /usr/sbin/apache2 -k start
   1043 ?        S      0:00 /usr/sbin/apache2 -k start
   1044 ?        S      0:00 /usr/sbin/apache2 -k start
   1045 ?        S      0:00 /usr/sbin/apache2 -k start
   1046 ?        I<     0:00 [iprt-VBoxWQueue]
   1050 ?        Ss     0:00 /usr/sbin/cupsd -l
   1055 ?        S      0:00 [iprt-VBoxTscThr]
   1086 ?        Ssl    0:00 /usr/sbin/gdm3
   1269 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1341 ?        Ssl    0:03 /usr/lib/upower/upowerd
   1609 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   1660 ?        Ssl    0:00 /usr/bin/whoopsie -f
   1670 ?        Ss     0:01 /usr/sbin/kerneloops --test
   1673 ?        Ss     0:01 /usr/sbin/kerneloops
   1848 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
   1857 ?        S<     0:00 [loop13]
   1881 ?        Ssl    0:04 /usr/lib/snapd/snapd
   2175 ?        Ss     0:00 /lib/systemd/systemd --user
   2176 ?        S      0:00 (sd-pam)
   2188 ?        S<sl  51:40 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   2190 ?        SNsl   0:17 /usr/libexec/tracker-miner-fs
   2192 ?        Ss     0:14 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2198 ?        SLl    0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
   2213 ?        Ssl    0:01 /usr/libexec/gvfsd
   2218 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   2226 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   2234 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   2237 ?        S<     0:00 [krfcommd]
   2239 ?        SLl    0:05 /usr/libexec/goa-daemon
   2241 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   2243 tty2     Rl+  104:05 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   2250 ?        Sl     0:00 /usr/libexec/goa-identity-service
   2256 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   2261 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   2265 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   2307 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   2321 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
   2382 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   2405 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   2410 ?        S      0:03 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   2422 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   2428 ?        Ssl    0:02 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2443 ?        Rsl   38:11 /usr/bin/gnome-shell
